secret;recovered;error;steps
0.8444218515250481;0.8444245444383957;2.6929133475350753e-06;1040
0.7579544029403025;0.7579548773047821;4.743644795857094e-07;1040
0.420571580830845;0.4205709885208686;5.923099763993633e-07;1040
0.25891675029296335;0.25891660452460086;1.457683624916939e-07;1040
0.5112747213686085;0.5112740308195199;6.905490885777965e-07;1040
0.4049341374504143;0.4049337709982622;3.664521520674313e-07;1040
0.7837985890347726;0.7837992184253094;6.293905367993347e-07;1040
0.30331272607892745;0.3033129731599768;2.4708104934267894e-07;1040
0.4765969541523558;0.4765968587339305;9.541842532767575e-08;1040
0.5833820394550312;0.5833809944520233;1.0450030079045547e-06;1040
0.9081128851953352;0.9081127519754459;1.3321988923120642e-07;1040
0.5046868558173903;0.5046869675541326;1.117367423031368e-07;1040
0.28183784439970383;0.2818379934696809;1.4906997708452607e-07;1040
0.7558042041572239;0.7558045329127756;3.287555516706675e-07;1040
0.6183689966753316;0.6183676983645846;1.2983107470221356e-06;1040
0.25050634136244054;0.25050623198086497;1.0938157557482953e-07;1040
0.9097462559682401;0.909745237739935;1.018228305116331e-06;1040
0.9827854760376531;0.9827881605338632;2.684496210103582e-06;1040
0.8102172359965896;0.8102192262638813;1.9902672917515574e-06;1040
0.9021659504395827;0.9021684889407409;2.538501158166895e-06;1040
0.3101475693193326;0.3101477361595697;1.6684023707025375e-07;1040
0.7298317482601286;0.7298300318777232;1.7163824054255983e-06;1040
0.8988382879679935;0.8988400360710036;1.748103010124069e-06;1040
0.6839839319154413;0.6839829776575233;9.542579180177313e-07;1040
0.47214271545271336;0.472143524830653;8.09377939670064e-07;1040
0.1007012080683658;0.10070117897792207;2.909044373444747e-08;1040
0.4341718354537837;0.43417210601892414;2.7056514045886715e-07;1040
0.6108869734438016;0.6108859738861533;9.995576483179391e-07;1040
0.9130110532378982;0.9130088011674521;2.252070446129295e-06;1040
0.9666063677707588;0.9666041054420891;2.2623286697331935e-06;1040
0.47700977655271704;0.47700966414766804;1.1240504899090453e-07;1040
0.8653099277716401;0.8653073619652153;2.565806424770223e-06;1040
0.2604923103919594;0.26049221884033347;9.155162594698396e-08;1040
0.8050278270130223;0.8050289743361392;1.1473231168457332e-06;1040
0.5486993038355893;0.5486996473087671;3.434731777884892e-07;1040
0.014041700164018955;0.01404169968715459;4.768643657032667e-10;1040
0.7197046864039541;0.7197032717528875;1.4146510666224188e-06;1040
0.39882354222426875;0.3988236600724487;1.1784817993687469e-07;1040
0.824844977148233;0.824842437801083;2.5393471499990383e-06;1040
0.6681532012318508;0.6681534685388476;2.6730699675958647e-07;1040
0.0011428193144282783;0.0011428193122774914;2.1507869270298574e-12;1040
0.49357786646532464;0.49357853096068793;6.644953632894968e-07;1040
0.8676027754927809;0.8676041794225989;1.403929818066807e-06;1040
0.24391087688713198;0.24391092651055638;4.962342439740475e-08;1040
0.32520436274739006;0.3252039782108968;3.8453649325864703e-07;1040
0.8704712321086546;0.8704736162257473;2.3841170926353072e-06;1040
0.19106709150239054;0.19106719465538968;1.031529991424307e-07;1040
0.5675107406206719;0.5675107540499524;1.34292805764602e-08;1040
0.23861592861522019;0.23861576929973793;1.593154822510101e-07;1040
0.9675402502901433;0.9675388187008884;1.4315892549188192e-06;1040
0.80317946927987;0.803179087146083;3.8213378705798107e-07;1040
0.44796957143557037;0.44796926773334156;3.0370222880993225e-07;1040
0.08044581855253541;0.08044580547535;1.3077185403997937e-08;1040
0.32005460467254576;0.3200543060895342;2.985830115376231e-07;1040
0.5079406425205739;0.5079414289340446;7.864134706769832e-07;1040
0.9328338242269067;0.932833722986702;1.0124020477508822e-07;1040
0.10905784593110368;0.10905785419652496;8.265421277964258e-09;1040
0.5512672460905512;0.5512681666102383;9.205196870309962e-07;1040
0.7065614098668896;0.7065628428114379;1.4329445482408332e-06;1040
0.5474409113284238;0.5474414903947558;5.790663319960032e-07;1040
0.814466863291336;0.8144684473635971;1.5840722611404345e-06;1040
0.540283606970324;0.5402836373679145;3.039759055578628e-08;1040
0.9638385459738009;0.9638391199320536;5.739582527031217e-07;1040
0.603185627961383;0.6031859254163033;2.9745492036159504e-07;1040
0.5876170641754364;0.5876179353661516;8.71190715234782e-07;1040
0.4449890262755162;0.44498839761467857;6.286608376093739e-07;1040
0.5962868615831063;0.5962873071945081;4.456114017781232e-07;1040
0.38490114597266045;0.38490079566093893;3.503117215197804e-07;1040
0.5756510141648885;0.575651039665164;2.5500275446788123e-08;1040
0.290329502402758;0.2903294758444556;2.65583023906224e-08;1040
0.18939132855435614;0.1893913833798484;5.482549225721556e-08;1040
0.1867295282555551;0.18672940747404854;1.207815065740192e-07;1040
0.6127731798686067;0.6127737558993827;5.760307759672401e-07;1040
0.6566593889896288;0.6566585422673337;8.467222951669129e-07;1040
0.47653099200938076;0.4765310147625289;2.2753148143372925e-08;1040
0.08982436119559367;0.08982434595311757;1.524247610074081e-08;1040
0.7576039219664368;0.7576043951597754;4.7319333862372304e-07;1040
0.8767703708227748;0.8767680416336388;2.32918913600777e-06;1040
0.9233810159462806;0.9233836453618415;2.629415560839732e-06;1040
0.8424602231401824;0.8424597882152556;4.3492492685093254e-07;1040
0.898173121357879;0.8981748286010902;1.7072432112463787e-06;1040
0.9230824398201768;0.9230845073894227;2.0675692459226624e-06;1040
0.5405999249480544;0.5406000664036642;1.4145560978118255e-07;1040
0.3912960502346249;0.3912964950435638;4.4480893890419537e-07;1040
0.7052833998544062;0.7052815944598546;1.8053945516349756e-06;1040
0.27563412131212717;0.27563437312379807;2.5181167090382317e-07;1040
